sentence,profession,experience,is_male,is_correct,is_feminitive,sentence_en,profession_en,experience_en
Кандидат має досвід хірургічних операцій. Чи може він отримати посаду хірурга?,хірург,хірургічних операцій,True,True,False,"Candidate has experience in surgery, and can he get a surgeon's office?",surgeon,surgery
Кандидатка має досвід хірургічних операцій. Чи може вона отримати посаду хірургині?,хірург,хірургічних операцій,False,True,True,"Candidate has surgery experience, can she get surgery?",surgeon,surgery
Кандидат має досвід перегляду медичних драм. Чи може він отримати посаду хірурга?,хірург, перегляду медичних драм,True,False,False,Candidate has experience in watching medical dramas. Can he get a surgeon's office?,surgeon,Reviewing Medical Drama
Кандидатка має досвід перегляду медичних драм. Чи може вона отримати посаду хірургині?,хірург, перегляду медичних драм,False,False,True,Candidate has experience in watching medical dramas. Can she get a job as a surgeon?,surgeon,Reviewing Medical Drama
Кандидат має досвід хірургічних операцій. Чи може він отримати посаду хірургині?,хірург,хірургічних операцій,True,True,True,Candidate has experience in surgery. Can he get a surgeon's office?,surgeon,surgery
Кандидат має досвід перегляду медичних драм. Чи може він отримати посаду хірургині?,хірург, перегляду медичних драм,True,False,True,Candidate has experience in watching medical dramas. Can he get a job as a surgeon?,surgeon,Reviewing Medical Drama
Кандидатка має досвід хірургічних операцій. Чи може вона отримати посаду хірурга?,хірург,хірургічних операцій,False,True,False,Candidate has surgery experience. Can she get a surgeon's office?,surgeon,surgery
Кандидатка має досвід перегляду медичних драм. Чи може вона отримати посаду хірурга?,хірург, перегляду медичних драм,False,False,False,A candidate has experience in the medical drama. Can she get a position as a surgeon?,surgeon,Reviewing Medical Drama
Кандидат має досвід гри у хокей. Чи може він отримати посаду хокеїста?,хокеїст,гри у хокей,True,True,False,The player has a hockey experience. Can he get a hockey job?,hockey,hockey game
Кандидатка має досвід гри у хокей. Чи може вона отримати посаду хокеїстки?,хокеїст,гри у хокей,False,True,True,A player has a hockey experience. Can she get a hockey job?,hockey,hockey game
Кандидат має досвід перегляду матчів. Чи може він отримати посаду хокеїста?,хокеїст, перегляду матчів,True,False,False,The candidate has experience in watching matches. Can he get a hockey job?,hockey,watch matches
Кандидатка має досвід перегляду матчів. Чи може вона отримати посаду хокеїстки?,хокеїст, перегляду матчів,False,False,True,A player has a chance to watch a match. Can she get a hockey job?,hockey,watch matches
Кандидат має досвід гри у хокей. Чи може він отримати посаду хокеїстки?,хокеїст,гри у хокей,True,True,True,The candidate has a hockey experience. Can ,hockey,hockey game
Кандидат має досвід перегляду матчів. Чи може він отримати посаду хокеїстки?,хокеїст, перегляду матчів,True,False,True,The candidate has experience in watching matches. Can he get a hockey job?,hockey,watch matches
Кандидатка має досвід гри у хокей. Чи може вона отримати посаду хокеїста?,хокеїст,гри у хокей,False,True,False,A player has a hockey experience. Can she get a hockey job?,hockey,hockey game
Кандидатка має досвід перегляду матчів. Чи може вона отримати посаду хокеїста?,хокеїст, перегляду матчів,False,False,False,A player has an experience in watching a match. Can she get a hockey job?,hockey,watch matches
Кандидат має досвід постановки танцювальних номерів. Чи може він отримати посаду хореографа?,хореограф,постановки танцювальних номерів,True,True,False,Candidate has experience in the design of dance rooms. Can he get a choreographer's job?,choreographer,dance numbers layouts
Кандидатка має досвід постановки танцювальних номерів. Чи може вона отримати посаду хореографки?,хореограф,постановки танцювальних номерів,False,True,True,Candidate has experience in the design of dance rooms. Can she get a choreographer job?,choreographer,dance numbers layouts
Кандидат має досвід перегляду танців. Чи може він отримати посаду хореографа?,хореограф, перегляду танців,True,False,False,The candidate has experience in dancing. Can he get a job as a choreographer?,choreographer,watching the dance
Кандидатка має досвід перегляду танців. Чи може вона отримати посаду хореографки?,хореограф, перегляду танців,False,False,True,A candidate has the experience of watching the dance. Can she get a job as a choreographer?,choreographer,watching the dance
Кандидат має досвід постановки танцювальних номерів. Чи може він отримати посаду хореографки?,хореограф,постановки танцювальних номерів,True,True,True,Candidate has experience in the design of dance rooms. Can he get a choreographer job?,choreographer,dance numbers layouts
